recno,Name,RAJ2000,DEJ2000,z,logsigma,e_logsigma,logLXbol
243,"Abell 3733",315.4583333333333,-28.114999999999995,0.038,2.78,0.06,43.99
244,"Abell 3744",316.80749999999995,-25.481666666666662,0.038,2.71,0.05,44.95
245,"SS2S 261",317.89416666666665,-23.147777777777776,0.033,2.84,0.09,43.25
246,"MS 2137.3-2353",325.0533333333333,-23.657499999999995,0.313,2.98,0.13,45.42
247,"Abell 3809",326.7395833333333,-43.901666666666664,0.062,2.68,0.05,44.71
248,"Abell 2390",328.39416666666665,17.66972222222222,0.228,3.04,0.02,45.8
249,"Abell 3822",328.5258333333333,-57.84694444444444,0.076,2.91,0.04,44.96
250,"Abell 3825",329.5933333333333,-60.394166666666656,0.076,2.84,0.04,44.61
251,"Abell 3827",330.4545833333333,-59.95416666666666,0.098,2.98,0.18,45.36
252,"Abell S0987",330.5979166666666,-22.504166666666663,0.07,2.83,0.07,44.45
253,"NGC 7176GRP",330.63083333333327,-32.08277777777777,0.009,2.29,0.13,41.47
254,"Abell 2426",333.61375,-10.368055555555554,0.098,2.52,0.07,45.13
255,"SRGB 009",333.69999999999993,13.838055555555554,0.026,2.5,0.06,43.04
256,"Abell 2440",335.96916666666664,-1.5963888888888886,0.091,3.0,0.07,45.05
257,"Abell 3880",336.95624999999995,-30.577777777777772,0.058,2.93,0.08,44.54
258,"Abell 3888",338.5958333333333,-37.72472222222222,0.151,3.12,0.03,45.5
259,"HCG 92",338.9895833333333,33.959999999999994,0.021,2.59,0.13,42.16
260,"Abell 3921",342.4108333333333,-64.38749999999999,0.094,2.69,0.09,45.04
261,"SRGB 013",342.50291666666664,11.670833333333333,0.026,2.77,0.05,43.05
262,"SS2B 293",343.7908333333333,-33.885,0.028,2.08,0.12,42.87
263,"Abell S1077",344.7179166666666,-34.78194444444444,0.312,3.22,0.05,45.58
264,"Abell 2556",348.26374999999996,-21.627777777777776,0.086,3.1,0.09,44.75
265,"SRGS 034",349.62999999999994,18.697777777777777,0.039,2.72,0.1,43.86
266,"SRGB 031",350.04708333333326,8.201388888888888,0.011,2.6,0.06,42.78
267,"NGC 7619GRP",350.13374999999996,8.373888888888887,0.011,2.4,0.13,42.62
